,Provincias,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,01 Araba/Álava,2416.5,2404.5,2317.0,2280.0,2081.5,1958.5,1855.0,1718.0,958.0,1554.0,1504.0,1364.0,1302.0,1311.5,696.5,1162.0,1145.5,1122.0,1130.5,5466.0,587.0,1124.0,1113.0,1124.5,1161.0,1243.0,1217.5,1245.5,721.0,1405.0,1395.5,1458.5,832.5,1605.0,1611.0,891.0,1713.5,863.5,1549.5,1638.5,1579.0,1537.0,1481.0,1341.5,1284.0,677.0
1,02 Albacete,2963.5,3034.5,2850.0,2934.5,2727.0,2604.0,2536.0,2582.0,2419.5,2383.0,2207.5,2195.5,1252.0,2096.5,2140.0,2166.5,1141.5,1156.5,1023.0,1971.0,1114.5,1899.5,1856.0,1042.5,1833.0,1832.0,1818.5,1847.0,1905.5,1825.0,1876.5,1136.0,1049.0,1159.5,2075.5,2025.5,1976.0,1849.0,1799.0,1788.0,1738.0,1679.5,1609.5,1520.0,1436.0,752.0
2,03 Alicante/Alacant,5947.0,10923.0,10652.0,5958.5,10028.5,9683.0,9312.5,8809.5,8241.0,7978.0,7757.0,7669.5,7521.0,7605.0,7345.0,7419.5,7273.0,7106.5,3843.0,6645.5,6554.5,6511.5,6405.5,3494.0,6861.0,3843.5,7588.5,4260.0,4825.5,8827.5,9064.5,5349.0,5095.5,10101.0,9170.5,9093.5,8623.0,8338.5,7916.0,7990.0,7952.0,7629.5,7519.5,7080.5,7023.0,6667.0
3,04 Almería,3887.0,4131.0,3982.0,3959.5,3898.0,2158.5,3696.0,1994.5,3548.0,3420.5,3273.5,3190.0,3257.0,3248.5,1619.0,3229.5,3066.0,3070.0,1589.5,2828.5,2843.5,2815.0,1524.0,2853.5,3058.0,1718.5,1839.5,3242.0,3487.0,2119.0,3914.5,4212.5,4237.5,4567.5,4236.0,4256.0,4149.5,3987.5,3885.0,3929.5,1939.0,3908.0,3781.0,3708.5,3643.5,1826.0
4,05 Ávila,1199.0,576.5,1122.0,1125.0,1097.0,1111.5,5247.5,5120.5,9325.0,9550.0,9350.0,9050.0,8645.0,8065.0,8010.0,7975.0,7010.0,6410.0,6750.0,6555.0,6685.0,6310.0,6065.0,5680.0,5855.0,5800.0,5640.0,5615.0,5795.0,6050.0,6615.0,6790.0,6695.0,7630.0,7285.0,7040.0,6720.0,6275.0,5785.0,6215.0,5535.0,5665.0,5360.0,4895.0,4760.0,4425.0
5,06 Badajoz,5211.0,5203.0,4974.5,2821.0,4971.5,5018.5,4855.5,4982.0,4804.5,4669.5,4424.5,4450.0,4453.5,4411.5,4269.0,4084.5,4105.0,4025.5,3859.5,3680.0,3524.0,3423.5,3352.0,3234.0,1777.5,3242.0,3229.5,1719.5,327.5,3198.5,3248.0,3347.5,3281.0,3592.5,3464.5,340.0,1889.5,3238.0,2974.0,3081.5,2964.5,2939.0,2860.5,2605.0,2579.0,2469.0
6,"07 Balears, Illes",5558.0,2965.5,5212.0,5020.5,5060.0,4911.0,4675.0,4577.0,4476.0,4432.5,4480.5,4366.0,4297.0,4366.0,4434.5,4413.0,2277.0,4245.5,3945.5,3841.5,3859.0,2016.0,4088.0,4154.5,2493.5,4751.0,4929.0,5210.0,2888.0,5396.0,5462.5,3286.0,3362.0,6356.5,6022.0,5983.5,5632.5,5501.0,5266.0,5336.5,5298.5,5308.0,5144.0,2744.0,4840.5,2563.0
7,08 Barcelona,25223.5,23446.0,40684.0,37840.5,33658.5,14810.0,12298.5,24985.5,23236.0,24161.0,24910.5,23420.0,22340.5,22092.5,21822.0,12181.5,21425.0,21724.5,21148.5,20686.0,20580.0,20800.5,12246.0,21547.5,22814.0,24246.5,13908.5,26085.5,27656.5,29000.5,29803.5,30433.5,30861.0,32347.0,30857.5,30602.0,15957.0,28319.5,26143.5,26185.5,25679.5,2533.5,24520.0,23343.5,22520.0,11482.5
8,09 Burgos,2788.5,2879.0,2684.5,1323.5,1222.5,1256.5,1123.0,2011.0,1974.0,997.5,1753.5,1725.5,1642.5,1654.0,1585.0,1502.0,1427.5,1434.0,1417.5,1315.0,1229.0,1286.0,1321.0,721.5,1327.5,1389.5,737.0,732.5,1409.0,1484.0,1528.5,1561.5,1625.0,979.5,1655.5,1680.0,1652.0,1561.5,1499.5,1410.5,1380.0,1329.0,1226.5,1175.5,1206.0,605.5
9,10 Cáceres,2932.5,1589.5,2900.0,2926.5,2924.0,3041.0,2895.0,2946.0,2828.5,2663.0,2657.5,2642.0,1464.5,1316.0,2317.5,2222.5,2149.0,2145.5,2033.5,1964.0,1898.0,1857.0,1814.5,1801.0,913.0,1824.5,1722.0,1698.0,1706.0,1751.0,1748.5,1711.5,1709.5,1775.0,1692.5,1664.0,1657.5,1473.5,1466.0,1502.0,1483.0,1452.5,1387.0,725.0,701.5,1221.0
10,11 Cádiz,10985.5,11220.0,11053.5,10830.0,10393.0,10166.0,9787.0,9533.0,9174.0,888.0,8391.5,8153.0,7907.0,7760.0,7589.0,7450.5,7235.5,6999.0,6858.0,3410.0,3364.5,6058.5,6155.0,6041.0,3460.0,6372.0,6432.5,3629.5,6767.0,7020.0,7244.5,7370.5,7248.5,7255.0,7048.5,3612.5,6616.0,3607.0,5931.0,3382.0,5907.0,5907.0,2887.0,2715.5,4872.5,4558.0
11,12 Castellón/Castelló,3426.5,3622.5,3520.0,198.0,1825.5,3199.5,2973.0,2818.0,2606.0,2558.0,2409.5,2325.5,2373.0,223.5,2209.0,2174.5,2179.0,2160.0,2164.0,1163.5,2120.5,2104.5,2153.0,2157.0,2257.0,2321.0,2483.5,2700.0,2800.0,2842.5,1569.0,3343.0,1890.0,1911.0,3285.5,3160.0,3057.5,2909.0,2735.0,2683.5,2549.0,2551.5,1258.5,2290.0,1263.5,2082.0
12,13 Ciudad Real,3831.5,2038.0,3619.5,2071.5,3565.5,1988.5,1935.5,3355.0,3308.5,3242.0,3147.5,3088.0,3042.5,3042.0,3026.0,2943.0,2918.5,2851.0,2777.5,2697.0,2565.0,2409.0,2394.0,2298.5,2280.5,2240.0,2230.0,2193.0,2261.5,2367.0,2452.5,2570.5,2550.5,2823.5,2645.0,2591.5,2524.0,1351.0,2294.0,2122.5,2162.5,2129.0,2006.5,1838.0,1789.0,1706.0
13,14 Córdoba,6346.0,6390.5,6271.0,6219.0,3211.5,3369.0,5703.0,5699.5,2904.5,5442.0,5164.0,5120.5,2682.0,5030.0,4954.0,4904.5,2702.0,4868.0,2525.5,4442.0,4129.0,4038.5,4031.0,2320.0,3975.5,3994.0,3929.0,3942.5,4087.0,2315.0,4139.0,4283.0,2360.5,4339.5,4154.5,3953.5,3959.5,3759.5,3583.5,3589.0,3525.0,1862.0,3248.5,1682.5,2999.0,2824.5
14,"15 Coruña, A",5129.0,9225.0,4791.0,9050.0,8340.5,7748.5,3915.0,7078.5,6552.0,6219.5,5688.5,5165.5,2786.5,4927.0,4654.5,4503.0,4327.0,4308.0,4261.0,3868.5,3732.0,2077.0,3782.5,3786.5,3791.5,3971.5,3978.0,3933.0,4163.0,4273.0,4408.0,2539.5,2407.0,4912.5,4781.0,4686.0,4629.0,2574.5,4225.0,4114.0,4193.0,4169.5,3872.5,3566.0,3307.0,3229.0
15,16 Cuenca,819.0,1458.5,1356.5,1358.5,1292.5,1298.0,644.5,1237.5,1200.0,1158.0,1131.5,1101.5,1106.0,5479.5,1068.0,1051.0,1023.0,4912.5,9425.0,8820.0,8725.0,8460.0,8350.0,7695.0,8140.0,8110.0,8145.0,8365.0,8360.0,8220.0,7905.0,8550.0,8285.0,9335.0,9020.0,8955.0,8700.0,8000.0,7650.0,7745.0,7610.0,7535.0,7035.0,6515.0,6945.0,5965.0
16,17 Girona,3930.0,3977.0,2086.0,3919.0,3847.5,1845.5,3063.0,2974.5,2793.5,2650.0,2668.0,2527.0,2510.5,1375.5,2560.0,2653.5,2662.5,2721.0,2638.0,2570.0,2464.0,2561.0,2650.0,2624.5,2635.5,2924.5,2982.0,3115.5,3510.0,2079.0,2036.5,4221.5,4215.0,4667.0,4508.0,4468.0,2299.5,4018.5,3754.5,3702.5,3770.0,3587.5,3511.0,3372.5,3218.5,3167.0
17,18 Granada,6822.5,6806.0,3596.0,6652.5,3635.0,3341.5,5965.0,5910.5,5683.0,5642.0,5489.0,2614.5,5322.5,5161.0,2702.0,5099.5,5106.5,4980.5,4820.5,4579.5,2585.5,4486.5,4428.5,4324.0,4280.0,4406.0,4432.5,4278.0,4542.5,2656.0,2378.5,5010.5,5206.0,5273.0,4852.0,470.0,4630.0,4539.5,4170.0,4252.5,2440.0,4317.5,3984.0,3720.5,3818.0,3525.0
18,19 Guadalajara,9135.0,9630.0,9580.0,9385.0,9315.0,9120.0,8630.0,8470.0,8780.0,7720.0,7355.0,7810.0,7365.0,7565.0,6705.0,6600.0,6795.0,7240.0,6920.0,6790.0,7065.0,7130.0,7270.0,7355.0,7940.0,8865.0,8700.0,4913.5,563.5,1110.0,116.5,1355.0,798.0,1576.0,1561.5,1547.5,1484.0,1421.5,1290.5,1222.0,1227.5,637.0,1096.0,1057.0,5492.5,9725.0
19,20 Gipuzkoa,6369.0,3799.0,3320.0,5555.0,4658.0,4163.0,4063.0,4046.0,2008.0,3438.5,3190.0,3236.5,2950.0,1551.5,2822.0,2686.0,2704.0,2737.0,1508.5,1491.0,2687.5,279.5,2883.0,2824.0,1588.5,3005.5,1642.5,1735.0,3383.5,3389.0,1926.0,3516.5,3576.5,2058.0,3572.5,3610.5,3524.0,3449.5,3143.5,3181.0,3180.5,3008.5,2796.5,2736.0,2570.0,2513.0
20,21 Huelva,3950.0,4085.5,3900.0,4021.5,3893.0,3757.0,3580.5,3526.0,3313.0,3173.0,3071.0,2960.0,1482.5,2851.0,2759.0,2703.5,2496.0,2659.5,1469.0,2439.0,1273.0,2303.0,2325.0,1237.0,2368.5,2414.5,2463.5,2504.0,2602.0,2618.5,2751.5,1606.5,2910.0,3073.5,2916.0,2882.0,2751.5,2607.5,1294.0,2590.0,2501.5,2367.5,2336.5,2128.0,2259.5,2115.0
21,22 Huesca,753.5,764.0,1395.0,1351.5,1304.5,1343.5,664.0,1152.0,1053.5,5339.5,5088.0,9745.0,9160.0,8605.0,8375.0,8205.0,8395.0,8605.0,7465.0,8235.0,7845.0,8015.0,7780.0,7760.0,7945.0,7865.0,8240.0,8115.0,8260.0,9200.0,9005.0,9490.0,9720.0,1070.5,5504.5,9975.0,9645.0,9495.0,9605.0,8665.0,9350.0,8605.0,8615.0,8255.0,7900.0,7430.0
22,23 Jaén,5369.5,3069.5,5175.0,5137.0,2983.5,5302.5,4848.5,2625.5,4801.5,4783.0,4583.0,4608.0,4405.0,4352.5,2481.0,4158.0,2375.0,4126.0,4198.5,3909.0,1952.0,3548.0,3514.0,1934.0,3568.0,3385.0,3223.0,3263.5,3344.0,3378.0,3300.5,3438.0,3370.5,1851.0,3304.0,1786.5,3093.5,2968.0,2761.5,1529.0,1533.5,2674.0,2450.0,2443.0,2368.0,2263.5
23,24 León,3526.0,3674.5,1942.5,3611.0,3489.5,3348.5,3230.0,3165.0,1620.5,2981.0,2756.5,2601.5,2406.5,2268.5,2179.0,1146.5,2027.0,1916.0,1795.5,1693.5,1653.5,162.0,96.0,1612.5,1577.5,1600.0,1594.0,1591.0,1618.5,1652.0,1656.5,1647.0,1757.5,1755.5,1742.5,945.0,1666.5,1600.0,1522.0,1519.0,1513.0,1434.5,727.5,700.0,1185.0,1138.0
24,25 Lleida,2545.0,1441.5,2537.5,2512.5,2406.0,2201.0,2006.0,2064.0,1883.0,1779.0,1781.5,1624.0,859.5,1629.0,1584.5,1556.5,1550.5,898.0,1622.5,1487.5,1478.0,1481.0,1512.5,1517.5,1570.0,1650.5,955.5,1709.5,1018.0,1991.0,2137.5,2189.0,1284.0,2595.5,2488.5,2429.5,1254.5,2199.5,1153.0,2078.5,1992.5,192.0,1867.5,1748.5,1742.5,930.0
25,"26 Rioja, La",1936.0,2132.5,1899.5,1921.5,1838.0,1752.5,1593.0,1570.5,1463.5,1392.0,1363.5,1223.0,1226.5,1233.0,1194.0,1160.0,1112.0,1082.5,614.0,1086.0,566.0,1050.0,1087.0,1102.0,1137.5,1173.0,1206.0,1288.0,1435.0,1469.5,1519.0,1535.0,1636.0,1759.0,1665.0,962.5,1586.0,1594.0,1451.5,1417.0,1366.0,1331.0,1283.0,1165.0,1204.0,1159.0
26,27 Lugo,2366.5,2407.0,1249.5,2374.5,2435.0,2372.0,1248.5,2058.0,2024.0,1934.5,1800.0,967.0,1631.5,1528.5,1481.5,1408.0,1358.0,1311.0,1270.5,1136.0,1086.5,9910.0,5369.5,1031.0,5237.5,1040.5,9570.0,5022.5,559.5,5312.5,5528.5,5382.0,1089.5,1104.0,1126.0,1105.5,1093.0,577.0,1041.5,58.0,1087.0,1050.5,1041.0,5290.5,8525.0,8395.0
27,28 Madrid,45470.5,46639.5,4432.5,42363.0,22479.5,36420.5,34430.0,32733.5,30364.5,29769.5,28445.0,15332.0,26702.0,25803.5,25520.5,25032.5,2471.5,25384.5,24813.0,23846.0,23558.0,23746.5,24361.0,13073.5,25990.5,28311.5,29862.0,31578.0,33523.0,34513.5,19401.5,35956.0,37418.5,21180.0,37978.5,36939.0,36011.5,34687.0,18379.5,32752.5,17414.0,17723.0,30277.5,28777.0,27870.5,14699.0
28,29 Málaga,9574.5,5393.0,9334.0,9185.5,8801.0,8621.0,8408.0,8490.0,8126.5,4119.0,4047.5,7309.0,7256.5,7074.5,6509.5,6699.5,6877.0,6919.5,6684.0,6378.0,6335.0,6317.5,3491.0,6313.5,353.5,6924.5,3995.5,7332.0,7931.0,8294.0,8616.0,8999.5,9161.5,9507.5,8897.0,8723.5,8539.0,8302.0,7752.5,7835.5,3980.0,7489.5,7211.0,6740.0,6621.5,3392.0
29,30 Murcia,9242.0,5266.0,9551.5,9471.0,9379.0,5205.0,8379.0,8287.5,7672.0,7431.0,7273.0,6979.0,6998.0,6989.5,6996.0,6934.5,6895.0,6885.0,6675.0,6247.0,6285.0,6324.5,3492.5,6395.0,6549.5,7097.5,7495.0,7744.5,8222.0,8338.5,8665.0,4824.5,5242.0,9693.0,9285.5,4825.5,8704.0,8341.0,8052.5,8154.0,7988.0,7764.0,7544.0,7337.5,7132.0,6853.0
30,31 Navarra,4345.0,4331.5,4178.5,3937.0,1956.0,1869.5,1839.5,3118.0,1668.0,2835.0,2656.5,1396.0,2400.5,2467.5,2430.0,2408.0,2394.5,2274.5,2344.0,2325.0,2313.5,241.5,2483.5,2476.0,2561.0,2631.0,2855.0,2901.0,3090.0,3146.5,1702.0,3275.5,1758.5,1872.0,3422.0,3389.0,3373.5,3365.5,3037.5,3091.5,1685.0,1592.5,2873.0,1479.5,2685.5,2518.0
31,32 Ourense,2353.0,2399.0,1224.0,1328.5,2194.5,2054.0,1894.0,1750.5,1741.0,1668.5,1591.5,1448.5,1377.5,1326.0,1247.0,1215.5,656.0,1135.0,1158.5,1057.5,5359.0,5200.5,5147.0,9130.0,9195.0,9185.0,9045.0,9130.0,5448.5,9505.0,4560.0,4948.0,1036.5,596.5,5367.0,4924.0,5239.0,5138.0,9315.0,9275.0,9175.0,8905.0,8545.0,7430.0,7345.0,7300.0
32,33 Asturias,8719.5,8928.5,8690.0,7927.0,7694.5,3875.0,6690.0,6221.5,5934.0,2740.0,5314.0,5124.5,4720.5,4276.5,2051.5,2168.5,2181.0,3747.0,1837.5,3326.5,3294.0,3265.0,1867.5,3172.0,3273.5,3365.5,3424.5,3364.5,3553.5,3609.0,3741.0,3798.0,3916.5,2274.5,4105.0,3881.5,3891.0,3811.0,1868.5,3300.0,3227.5,3173.5,3006.0,2866.5,2576.0,2385.5
33,34 Palencia,668.5,1229.0,1205.5,713.5,1240.0,1237.0,667.5,602.5,1092.0,1133.0,1043.0,5252.5,9285.0,8350.0,8215.0,7815.0,7380.0,7230.0,6910.0,6825.0,6505.0,6690.0,6230.0,5565.0,6080.0,5775.0,5825.0,5965.0,6020.0,5805.0,6125.0,6240.0,6040.0,6390.0,6155.0,5935.0,6135.0,5810.0,5740.0,5900.0,5810.0,5235.0,5380.0,4915.0,4635.0,4695.0
34,"35 Palmas, Las",3848.0,7272.0,7021.0,6998.0,6894.5,6693.5,6375.5,6236.0,5894.5,3009.0,5430.5,5430.0,2945.0,5685.0,5342.5,511.5,5019.5,4926.0,2558.5,4607.0,4557.0,4602.5,4765.0,4785.0,5109.0,5303.0,5421.0,2907.0,5540.0,5413.5,5398.5,5545.0,5064.0,5385.5,4949.0,4870.0,4564.5,4468.5,4270.0,2114.0,4211.5,4294.0,4122.0,3871.0,3793.0,3529.5
35,36 Pontevedra,8089.5,8389.0,8198.5,8141.5,7558.5,7402.5,6538.5,6220.0,5707.5,5446.0,2901.5,2686.5,2490.5,4497.5,4413.0,4124.0,4114.0,4062.5,3952.0,3779.5,3551.0,3631.0,1936.5,3538.5,2094.0,3778.5,3841.0,3858.5,4005.0,4085.5,4152.0,4162.5,4237.0,2409.5,4332.5,4205.0,4088.5,3960.5,2068.0,3698.5,3516.0,3420.5,3454.5,2991.5,2965.0,2825.0
36,37 Salamanca,1316.5,2454.5,2324.0,2373.5,1243.5,2307.5,1201.0,2203.5,2112.0,1970.0,1909.5,1812.5,1749.5,1639.5,1579.0,1515.0,1529.5,1481.0,1450.5,1337.5,1312.5,1231.0,1300.5,1238.5,707.0,1276.5,1236.0,1260.5,749.0,738.5,1316.0,1314.5,1385.0,1449.5,1330.5,1309.0,1325.5,709.5,1131.5,1168.5,1171.0,628.5,1014.0,5519.5,9665.0,9025.0
37,38 Santa Cruz de Tenerife,6510.0,6556.5,6164.0,3367.5,3224.5,5811.0,5610.0,5187.5,4951.5,4834.0,4553.0,4441.5,4393.5,4306.5,2482.0,4230.5,4095.5,4236.5,4029.0,3929.0,2220.5,3925.0,3907.5,3911.0,2288.0,4187.5,4210.0,4317.0,4093.0,4190.0,4665.0,2737.0,2565.0,4950.5,2349.0,2415.0,4147.0,4132.0,3659.5,2084.5,2133.5,2062.0,3767.5,3516.5,3275.5,3059.5
38,39 Cantabria,4382.5,4536.0,4397.5,4357.0,4077.0,2083.0,3735.0,3450.5,3243.5,3027.0,2821.0,2687.5,2585.0,2490.0,2305.5,2288.0,2170.5,1260.0,2058.5,1089.0,1867.0,1929.5,1121.5,1094.0,2010.5,2170.5,2140.0,2280.0,2436.5,2530.0,2633.5,2614.5,2689.5,2943.0,2809.5,1568.0,1524.5,2532.0,2415.5,2282.5,2187.5,1127.5,1105.0,1902.5,1773.5,1703.5
39,40 Segovia,1097.0,1094.0,5510.5,5241.0,5394.0,9255.0,9030.0,8840.0,8410.0,7900.0,8125.0,7150.0,6790.0,6700.0,6810.0,6710.0,6665.0,6500.0,6150.0,6085.0,6235.0,6205.0,6465.0,5810.0,5875.0,5970.0,6200.0,6280.0,6575.0,6520.0,7055.0,7105.0,7110.0,7650.0,7290.0,7230.0,7095.0,6595.0,5925.0,6400.0,5985.0,5705.0,5380.0,5290.0,5125.0,4745.0
40,41 Sevilla,15223.5,15684.0,15702.5,15365.5,14326.5,14112.5,13180.5,12980.0,12390.0,11754.0,6407.0,10842.0,10675.0,10542.5,10331.0,10364.0,10436.0,10383.5,1034.0,9760.5,9358.0,9072.0,9327.5,9121.5,9316.0,9756.5,9698.0,9892.5,10299.5,10647.5,11084.0,11521.0,6642.5,12596.5,11900.0,11502.0,5956.5,10572.5,10021.0,5413.0,9756.0,5368.5,8942.0,8547.0,8116.5,7779.5
41,42 Soria,5700.0,6090.0,6125.0,5785.0,5535.0,5050.0,4990.0,4960.0,4780.0,4620.0,4650.0,4630.0,4320.0,4040.0,3990.0,3765.0,3595.0,3510.0,3635.0,3250.0,3490.0,3225.0,3065.0,3450.0,3075.0,3615.0,3360.0,3265.0,3690.0,3590.0,3635.0,3600.0,3465.0,3860.0,3695.0,3740.0,3535.0,3535.0,3330.0,3215.0,3170.0,3130.0,2955.0,3030.0,2895.0,2955.0
42,43 Tarragona,4272.5,4553.5,2576.5,2314.5,4088.0,3900.0,2007.5,3521.5,3161.0,3101.5,3082.0,2827.5,2765.5,2777.0,2623.0,1520.0,2632.0,2694.5,2598.5,2587.0,2588.5,1349.0,2649.0,1457.0,1515.0,3082.0,3134.0,3362.5,3545.0,3766.5,4110.0,4306.0,4664.0,5015.0,2682.5,4684.5,4390.5,2219.5,3835.5,3828.0,2122.5,3611.5,1896.5,3318.5,3293.0,3100.0
43,44 Teruel,8875.0,9030.0,9365.0,4011.5,9380.0,8865.0,8365.0,7965.0,7645.0,7610.0,7375.0,7395.0,6980.0,6820.0,6365.0,6520.0,5950.0,5930.0,5830.0,5765.0,5130.0,5025.0,5335.0,4950.0,4675.0,5350.0,5015.0,4545.0,4980.0,5395.0,5570.0,5680.0,6160.0,6210.0,6225.0,5910.0,5985.0,5680.0,5620.0,5555.0,4930.0,5295.0,4730.0,4735.0,4900.0,4605.0
44,45 Toledo,3745.5,3901.5,3686.0,3738.5,1983.5,3504.5,3465.5,3380.5,3113.0,3163.5,3020.5,2944.0,2836.5,1602.0,2886.0,2743.0,2708.5,2746.5,2690.5,2626.0,2567.5,2505.5,1287.5,2500.5,2656.5,2592.0,2665.0,2733.0,2955.0,3129.5,3219.0,3409.5,3794.0,4140.0,1898.0,3939.0,3828.0,3676.0,3385.5,3289.0,3218.0,3152.5,3016.5,1582.5,2696.5,2707.5
45,46 Valencia/València,18584.0,18957.5,18915.5,18321.5,17439.0,16206.5,7948.0,7558.0,13019.5,6764.0,6345.0,11473.5,10925.5,10824.5,10548.5,10553.0,10406.5,5660.0,5487.5,9827.0,9698.0,9686.5,9853.5,9738.5,5761.0,10812.0,11073.0,6541.5,12327.5,12807.0,13245.0,13609.0,14354.0,14837.5,13738.5,13588.5,13042.5,12539.5,11441.5,11498.0,11224.0,10817.5,10247.0,9638.5,9417.0,9131.5
46,47 Valladolid,4111.5,4451.5,4199.0,4182.0,3842.5,3653.5,3309.0,3173.5,2848.0,2809.5,2576.0,2370.5,2339.5,2213.0,2158.0,2056.5,2040.5,2008.5,1098.5,1923.0,1834.0,1029.0,1891.0,887.5,1858.5,1939.0,1962.0,2075.5,2159.0,1175.0,2288.5,2396.0,2368.0,2527.0,1323.0,2549.5,2378.5,2327.5,2158.0,1229.0,2096.0,201.5,1837.5,1731.5,1644.0,1625.0
47,48 Bizkaia,6263.0,6161.0,10877.0,9993.5,9178.0,8284.5,7709.5,7071.0,6546.0,6213.0,5791.0,5529.5,5107.5,4889.0,4528.0,4380.0,2397.5,4311.5,4112.0,2166.0,3943.5,4073.5,4167.0,4108.0,4300.5,4409.5,4520.0,2621.5,490.5,4993.0,2833.0,5038.0,5204.0,5430.5,5269.0,5300.5,5340.0,5170.5,4865.0,4870.0,4665.0,4578.0,2272.0,2154.5,3870.5,1940.5
48,49 Zamora,137.5,1413.0,1409.5,1381.0,1298.0,1312.0,1188.5,1208.5,1139.0,1088.0,1051.5,5243.0,9890.0,9145.0,8995.0,8885.0,8120.0,7970.0,7310.0,6725.0,6805.0,6600.0,6705.0,6400.0,5830.0,6160.0,5595.0,6120.0,6065.0,5750.0,5800.0,5950.0,5720.0,6080.0,5755.0,5910.0,5600.0,5585.0,5245.0,5160.0,4845.0,4665.0,4520.0,4480.0,4185.0,3960.0
49,50 Zaragoza,3432.5,6571.0,6257.5,5984.5,5576.5,2811.0,4939.5,2696.5,4326.0,4325.0,4133.0,2100.0,3795.5,3811.5,3683.0,1969.0,1915.5,3571.5,1854.5,3410.0,1885.0,3326.0,3382.0,3303.5,3522.0,2073.0,3848.0,2097.5,2218.5,4269.5,4356.5,4623.0,4841.5,5146.0,4872.5,2735.0,4742.0,4472.5,4308.5,2502.5,4248.0,4074.5,3931.0,3689.5,3542.0,3344.0
50,51 Ceuta,6585.0,6435.0,6135.0,6285.0,5965.0,5800.0,5765.0,5430.0,5375.0,5120.0,5530.0,5155.0,5330.0,5675.0,5295.0,4970.0,5265.0,5415.0,5640.0,5040.0,5275.0,4815.0,5145.0,4905.0,5100.0,4980.0,4905.0,5115.0,5075.0,5305.0,5325.0,5205.0,5680.0,5825.0,5760.0,5960.0,5830.0,5640.0,5430.0,6010.0,5480.0,5300.0,5225.0,4860.0,4205.0,4215.0
51,52 Melilla,3645.0,4175.0,4210.0,4100.0,4025.0,4365.0,4130.0,4560.0,4720.0,4630.0,4875.0,4890.0,4760.0,5220.0,4985.0,5075.0,5050.0,5750.0,5620.0,5255.0,5330.0,5085.0,5170.0,5245.0,5180.0,5515.0,5665.0,5245.0,5535.0,4975.0,5060.0,5610.0,5560.0,6260.0,6365.0,6795.0,7275.0,7580.0,7545.0,8125.0,7550.0,7280.0,6710.0,6700.0,6180.0,4810.0
